Italian,English
Divisione IMI Corporate & Investment Banking,IMI Corporate & Investment Banking Division
Area di Governo Chief Financial Officer,Chief Financial Officer Governance Area
Divisione Banca dei Territori,Banca dei Territori Division
Area di Governo Chief Lending Officer,Chief Lending Officer Governance Area
Intesa Sanpaolo Private Banking,Intesa Sanpaolo Private Banking
Area di Governo Chief Governance Officer,Governance Area Chief Governance Officer
"Area di Governo Chief IT, Digital and Innovation Officer","Governance Area Chief IT, Digital and Innovation Officer"
Area di Governo Chief Compliance Officer,Chief Compliance Officer Governance Area
Area di Governo Chief Operating Officer,Chief Operating Officer Governance Area
Area di Governo Chief Cost Management Officer,Chief Cost Management Officer Governance Area
Gestione della Conformita' - Gestione ambito normativo Tutela ambientale,Compliance Management - Regulatory management Environmental protection
Area di Governo Chief Risk Officer,Chief Risk Officer Governance Area
Leasing - Gestione Asset Leasing Real Estate,Leasing - Real Estate Leasing Asset Management
Chief Audit Officer,Chief Audit Officer
Gestione della Conformita' - Gestione ambito normativo Internal Dealing - Insider List Proprietaria,Compliance Management - Internal Dealing Regulatory Management - Proprietary Insider List
Ramo Vita - Fondi Pensione,Life branch - Pension funds
Divisione Insurance,Insurance Division
Comitati manageriali del Gruppo Intesa Sanpaolo,Management committees of the Intesa Sanpaolo Group
Consiglio di Amministrazione,Board of Directors
Sicurezza Fisica - Accessi,Physical Security - Access
Divisione International Subsidiary Banks,International Subsidiary Banks Division
Cessione Crediti - Cessione di Crediti Deteriorati e Portafogli di Crediti Deteriorati e Misti,Loan Assignment - Assignment of Impaired Loans and Portfolios of Impaired and Mixed Loans
Area di Governo Chief Institutional Affairs and External Communication Officer,Governance Area Chief Institutional Affairs and External Communication Officer
Divisione Private Banking,Private Banking Division
Divisione Asset Management,Asset Management Division
Intesa Sanpaolo Vita,Intesa Sanpaolo Vita
Risorse Umane - Gestione del Personale Dipendente,Human Resources - Employee Personnel Management
Valutazioni ai fini di Bilancio - Valutazione Crediti,Assessments for Financial Statements - Credit Assessment
Direzione Centrale Strategic Support,Central Strategic Support Department
Consigliere Delegato e CEO,Managing Director and CEO
Segnalazioni - Centrale Rischi Banca d'Italia,Notifications - Bank of Italy Central Credit Register
Finanza in Conto Proprio - Gestione del Collateral,Own Account Finance - Collateral Management
Gestione del Credito Deteriorato - Gestione Sofferenze Leasing,Management of non-performing credit - management of bad debts leasing
Segnalazioni - Segnalazioni Prudenziali (COREP),Reports - Prudential Reports (COREP)
Fiscalita' - Fiscalita' sul Credito,Taxation - Credit taxation
Pianificazione e Controllo di Gestione - Controllo di Gestione,Planning and Management Control - Management Control
