Italian,English
Finanza in Conto Proprio,Own account finance
Concessione,Grant
Credit Risk Mitigation,Credit Risk Mitigation
Adempimenti Obbligatori,Mandatory Fulfillments
Gestione della Conformita',Compliance Management
Bilancio e Pillar III,Budget and Pillar III
Leasing,Leasing
Service Transition,Service transition
Finanziamenti,Funding
Prodotti e Servizi Finanziari,Financial Products and Services
Ramo Vita,Life branch
"Sviluppo Prodotti, Servizi e Accordi Commerciali","Product Development, Services and Commercial Agreements"
Corporate Finance,corporate finance
Sicurezza Fisica,Physical Security
Cessione Crediti,Credit assignment
Rischio di Credito,Credit Risk
Gestione del Credito Deteriorato,Management of non-performing credit
Risorse Umane,Human resources
Valutazioni ai fini di Bilancio,Valuations for Financial Statements purposes
Conti e Depositi,Accounts and Deposits
Segnalazioni,Reports
Estero,Abroad
Rating,Ratings
Fiscalita',taxation
Finanza in Conto Terzi,Third Party Finance
Garanzie Domestiche Passive e Garanzie Internazionali,Passive Domestic Guarantees and International Guarantees
Incassi e Pagamenti,Receipts and payments
Pianificazione e Controllo di Gestione,Planning and Management Control
Carte di pagamento,Payment cards
Portafoglio,Wallet
Strategie,Strategies
Ramo Danni,Damage branch
Relazioni istituzionali e Comunicazione esterna,Institutional Relations and External Communication
Service Operation,Service Operation
Servizi di Sportello,Branch services
Processi Amministrativi,Administrative processes
Altri prodotti e servizi accessori,Other ancillary products and services
Cybersecurity and Business Continuity Services,Cybersecurity and Business Continuity Services
Immobili e Patrimonio Artistico,Property and Artistic Heritage
Anagrafe,Registry office
Rischio di Liquidita',Liquidity Risk
Sistema Integrato dei Controlli Interni,Integrated System of Internal Controls
Gestione del Credito in Bonis in Monitoraggio,Management of Performing Credit under Monitoring
Anagrafica e Parametrizzazioni Finanza,Master Data and Finance Settings
Contenzioso e Consulenza Legale,Litigation and Legal Advice
Pricing e Modelli di Mercato,Pricing and Market Models
Acquisti e Cessione Beni,Purchases and Sale of Goods
Contabilita',Accounting'
Risparmio Gestito,Managed savings
Rischio Finanziario di Banking Book,Banking Book Financial Risk
Governo societario e adempimenti societari,Corporate governance and corporate compliance
Service Strategy,Service Strategy
Cybersecurity and Business Continuity Projects,Cybersecurity and Business Continuity Projects
Risk Strategy e Internal Capital & Liquidity Adequacy Assessment,Risk Strategy and Internal Capital & Liquidity Adequacy Assessment
Cybersecurity and Business Continuity Governance,Cybersecurity and Business Continuity Governance
Rischio Operativo,Operational risk
Data Governance,Data Governance
Service Design,Service Design
Banche dati del Credito,Credit databases
Servizi di Accesso ai Canali Digitali,Digital Channel Access Services
Customer Relationship Management,Customer Relationship Management
Monitoraggio Crediti,Credit monitoring
Factoring,Factoring
Organizzazione,Organization
Rischio Mercato,Market risk
Outsourcing,Outsourcing
Rischio Strategico, Strategic Risk
