level3,level3ID
Securities,1247
Acceptance and Release Mortgage co-obligor,1045
Attached Guarantees,1332
Foreclosures,1153
Regulatory management Environmental protection,1289
Corporate Financial Statements,1030
Real Estate Leasing Asset Management,1006
Regulatory Management Markets in Financial Instruments Directive (MiFID II),1010
FM Design and Development,1263
Subsidized loans following natural disasters,1307
Repurchase Agreements,1132
Algorithmic Trading,1097
Proprietary Insider List,1274
Pension funds,1308
Crowdfunding,1211
ONE Syndication,1202
Access,1235
"Class I, Class III, Class V and Multi-class Life policies",1283
Assignment of Impaired Loans and Portfolios of Impaired and Mixed Loans,1193
Customer Auditors and other Certifications,1345
Calculation of Regulatory and Management Measures,1053
Management of mortgages and amortization loans,1205
Prevention,1232
Probable Default Management,1145
Employee Personnel Management,1278
Credit Assessment,1215
Management of current account liquidity,1141
Bank of Italy Central Credit Register,1343
Bonds and Certificates,1231
Export documentary credits,1062
Collateral Management,1260
Retail Lending Open,1091
management of bad debts leasing,1138
Corporate Regulatory Segment,1160
Loans to companies in the progress of the works,1170
Prudential Reports (COREP),1226
Credit taxation,1105
Regulated Derivatives,1077
Management of the Embargo regulatory framework,1129
International guarantees issued,1070
ADUE SDD,1115
Management Control,1024
Debit and Service Cards,1310
Easy Export,1184
Contribution Management,1089
Associated parties and Obligations of bank representatives,1354
Guarantees of funds,1078
Administered Deposit,1099
Capital Management,1245
Credit cards,1316
OTC Derivatives,1280
Disclosure for the Resolution Plan,1220
Motor,1082
Relations with Supervisors and Regulatory Authorities,1309
FM operational management,1164
Self Equipment Management,1330
Archiving of documents in paper and electronic format,1353
Loans for use and sale of gold,1172
Funding,1171
Supplier management,1271
Security Operation Center,1026
Medium/long-term internal transfer rate management,1262
Management of Physical Assets & SW Licenses,1255
Management of Artistic Heritage,1043
Personnel Administrative Management,1275
Census and Counterparty Management,1288
Legislative Provisions and Collective Agreements,1206
Import documentary credits,1068
Other Supervisory Reports,1127
Administrative property management,1257
Management Reporting and Profit and Loss Backtesting,1092
Industrial Accounting and Service Contracts,1021
Structured Finance ONE,1080
Euro and currency liquidity management,1152
"Clearing, Custody and Settlement Services",1252
Management of collateralized bank assets,1319
Management of ICT Security and Business Continuity regulatory areas,1287
Country risk,1001
Pricing,1022
Equity Capital Markets,1194
Group liquidity risk,1351
Internal Violation Reporting System,1079
Management of relationships with counting rooms,1047
Mortgages sold through third-party networks,1155
Successions,1169
Foreign Cheques,1209
Operations in foreign exchange,1241
Proactive Management of Banks and Financial Institutions,1338
Financial Instrument Master Data,1322
Management of Employee Insurance Intermediaries,1285
Management of legal disputes,1148
Loan IQ financing,1149
Independent Price Verification,1119
Register and Qualification of Suppliers and Third Parties,1067
Test Management,1025
Employee Personnel Development,1017
Savings Books,1035
Compulsory communications to the Revenue Agency,1081
Corporate Welfare for Employees of the Banks client companies,1121
Regulated derivatives,1270
Personnel Accounting,1063
Securities,1076
Valuation of Securities and Derivatives,1004
Matrix Reports and other Statistical Supervisory Reports,1301
Pricing models and calculation of risk measures,1268
Mutual Investment Funds,1019
SDD at bank risk,1277
"Budget, Forecast and Consolidation of Operating Expenses",1190
OTC derivatives,1356
Short Selling Regulatory Management,1011
Remuneration and Incentive Systems,1300
Financial Institutions ONE,1208
Management of Non-Employee Personnel,1122
Development and Review of Internal Models of Credit Risk,1239
Prepaid cards,1344
IRR risk,1250
Fulfillments in terms of shareholdings that can be held,1037
Structured Finance,1014
ICT Government,1296
Bond Issues,1238
AM Design and Development,1264
Loan management,1199
