level3GUID,level3,level3ID
bae55831-6dff-11e7-7823-00155d86fd3a,Own Account Finance - Securities,252
1fe786c1-61a3-11e7-2249-001dd8b721ea,Concession - Private - Acceptance and Release Mortgage co-obligor,78
f0698bc1-61a0-11e7-2249-001dd8b721ea,Credit Risk Mitigation - Attached Guarantees,115
67cadcf1-619c-11e7-2249-001dd8b721ea,Mandatory Fulfillments - Foreclosures,216
d8fc8040-acc9-11e7-2249-001dd8b721ea,Compliance Management - Regulatory management Environmental protection,61
13244d51-619f-11e7-2249-001dd8b721ea,Financial Statements and Pillar III - Corporate Financial Statements,164
002e6e06-accf-11e7-2249-001dd8b721ea,Leasing - Real Estate Leasing Asset Management,192
01f642e1-619f-11e7-2249-001dd8b721ea,Compliance Management - Regulatory Management Markets in Financial Instruments Directive (MiFID II),56
c3d465c0-78db-11dc-1322-000d609809a6,Service Transition - FM Design and Development,325
e1ad7250-1078-11e7-2688-00101818ed80,Loans - Subsidized loans following natural disasters,205
5c57e6a0-19e1-11e7-2688-00101818ed80,Financial Products and Services - Repurchase Agreements,160
39d9d1b0-845e-11ea-1911-001dd8b72a55,Compliance Management - Regulatory Management Markets in Financial Instruments Directive (MiFID II) - Algorithmic Trading,57
ce0f7d41-61a1-11e7-2249-001dd8b721ea,Compliance Management - Internal Dealing Regulatory Management - Proprietary Insider List,46
e1b63031-619e-11e7-2249-001dd8b721ea,Life branch - Pension funds,194
996ea211-a262-11e9-1911-001dd8b72a55,"Product Development, Services and Commercial Agreements - Crowdfunding",284
93095503-ec19-11e8-2249-001dd8b721ea,Corporate Finance - ONE Syndication,90
b0dcd901-619e-11e7-2249-001dd8b721ea,Physical Security - Access,269
d3a17e41-619f-11e7-2249-001dd8b721ea,"Life Class - Insurance Investment Products - Class I, Class III, Class V and Multi-class Life policies",193
898a5091-252d-11e9-2249-001dd8b721ea,Loan Assignment - Assignment of Impaired Loans and Portfolios of Impaired and Mixed Loans,198
f8185cd1-619f-11e7-2249-001dd8b721ea,Mandatory Fulfillments - Customer Auditors and other Certifications,214
2482e0d1-61a3-11e7-2249-001dd8b721ea,Credit Risk - Calculation of Regulatory and Management Measures,112
9502735d-3184-11e8-2249-001dd8b721ea,Loans - Management of mortgages and amortization loans,203
aedb63b1-619e-11e7-2249-001dd8b721ea,Physical Security - Prevention,271
62ff91e1-619f-11e7-2249-001dd8b721ea,Non-Performing Loan Management - Probable Default Management,225
cfce72b1-619e-11e7-2249-001dd8b721ea,Human Resources - Employee Personnel Management,171
9bde2211-619f-11e7-2249-001dd8b721ea,Assessments for Financial Statements - Credit Assessment,27
5f44f87a-55fc-11e0-23ac-00505682243b,Accounts and Deposits - Management of current account liquidity,20
f63df781-619f-11e7-2249-001dd8b721ea,Notifications - Bank of Italy Central Credit Register,229
aba90f81-619e-11e7-2249-001dd8b721ea,Financial Products and Services - Bonds and Certificates,153
2abba5f1-619d-11e7-2249-001dd8b721ea,Abroad - Export documentary credits,1
