level2,level2ID
Own account finance,42
Grant,24
Credit Risk Mitigation,10
Mandatory Fulfillments,35
Compliance Management,7
Budget and Pillar III,6
Leasing,28
Service transition,59
Funding,23
Financial Products and Services,22
Life branch,29
"Product Development, Services and Commercial Agreements",48
corporate finance,64
Physical Security,45
Credit assignment,11
Credit Risk,9
Management of non-performing credit,34
Human resources,25
Valuations for Financial Statements purposes,62
Accounts and Deposits,2
Reports,54
Abroad,0
Ratings,51
taxation,65
Third Party Finance,61
Passive Domestic Guarantees and International Guarantees,43
Receipts and payments,52
Planning and Management Control,46
Payment cards,44
Wallet,63
Strategies,60
Damage branch,18
Institutional Relations and External Communication,26
Service Operation,57
Branch services,5
Administrative processes,3
Other ancillary products and services,40
Cybersecurity and Business Continuity Services,17
Property and Artistic Heritage,49
Registry office,53
Liquidity Risk,30
Integrated System of Internal Controls,27
Management of Performing Credit under Monitoring,33
Master Data and Finance Settings,37
Litigation and Legal Advice,31
Pricing and Market Models,47
Purchases and Sale of Goods,50
Accounting',1
Managed savings,32
Banking Book Financial Risk,4
Corporate governance and corporate compliance,8
Service Strategy,58
Cybersecurity and Business Continuity Projects,16
Risk Strategy and Internal Capital & Liquidity Adequacy Assessment,55
Cybersecurity and Business Continuity Governance,15
Operational risk,38
Data Governance,19
Service Design,56
Credit databases,12
Digital Channel Access Services,20
Customer Relationship Management,14
Credit monitoring,13
Factoring,21
Organization,39
Market risk,36
Outsourcing,41
